Customer Query,Order Code,Description
ACB 4P 800A 65KA (3s),1SDA072894R1,E2.2H 800 Ekip Touch LI 4p WMP          
ACB 4P 800A 36KA (3s),1SDA072874R1,E2.2N 800 Ekip Touch LI 4p WMP          
ACB 4P 630A 36KA (3s),1SDA072874R1,E2.2N 800 Ekip Touch LI 4p WMP          
ACB 4P 5000A 36KA (3s),1SDA073244R1,E6.2H 5000 Ekip Touch LI 4p WMP         
ACB 4P 5000A 100KA (3s),1SDA073244R1,E6.2H 5000 Ekip Touch LI 4p WMP         
ACB 4P 400A 36KA (3s),1SDA072874R1,E2.2N 800 Ekip Touch LI 4p WMP          
ACB 4P 4000A 65KA (3s),1SDA073184R1,E4.2S 4000 Ekip Touch LI 4p WMP         
ACB 4P 3200A 65KA (3s),1SDA073124R1,E4.2N 3200 Ekip Touch LI 4p WMP         
ACB 4P 3200A 36KA (3s),1SDA073124R1,E4.2N 3200 Ekip Touch LI 4p WMP         
ACB 4P 2500A 65KA (3s),1SDA073064R1,E2.2H 2500 Ekip Touch LI 4p WMP         
ACB 4P 2500A 36KA (3s),1SDA073044R1,E2.2N 2500 Ekip Touch LI 4p WMP         
ACB 4P 2000A 65KA (3s),1SDA073034R1,E2.2H 2000 Ekip Touch LI 4p WMP         
ACB 4P 2000A 36KA (3s),1SDA073014R1,E2.2N 2000 Ekip Touch LI 4p WMP         
ACB 4P 1600A 65KA (3s),1SDA072994R1,E2.2H 1600 Ekip Touch LI 4p WMP         
ACB 4P 1600A 36KA (3s),1SDA072974R1,E2.2N 1600 Ekip Touch LI 4p WMP         
ACB 4P 1250A 65KA (3s),1SDA072954R1,E2.2H 1250 Ekip Touch LI 4p WMP         
ACB 4P 1250A 36KA (3s),1SDA072934R1,E2.2N 1250 Ekip Touch LI 4p WMP         
ACB 4P 1200A 36KA (3s),1SDA072934R1,E2.2N 1250 Ekip Touch LI 4p WMP         
ACB 4P 1000A 65KA (3s),1SDA072924R1,E2.2H 1000 Ekip Touch LI 4p WMP         
ACB 4P 1000A 36KA (3s),1SDA072904R1,E2.2N 1000 Ekip Touch LI 4p WMP         
ACB 3P 800A 36KA (3s),1SDA072244R1,E2.2N 800 Ekip Touch LI 3p WMP          
ACB 3P 2500A 65KA (3s),1SDA072434R1,E2.2H 2500 Ekip Touch LI 3p WMP         
ACB 3P 2000A 36KA (3s),1SDA072384R1,E2.2N 2000 Ekip Touch LI 3p WMP         
ACB.ACC. OFF POSITION PADLOCKING,1SDA073805R1,PLC E2.2..E6.2 Padlocks in open D=8mm   
ACB.ACC. MOTOR AC230V,1SDA073725R1,M  E2.2...E6.2 220-250 VAC/DC           
ACB.ACC. CLOSING COIL AC/DC24V,1SDA073687R1,YC E1.2..E6.2-XT7M 220-240 VAC/DC       
ACB.ACC SHUNT TRIP AC230V ,1SDA073674R1,YO E1.2..E6.2-XT7-XT7M 220-240 VAC/DC   
MCCB 85KA 3P 630A - (LSI),1SDA100563R1,XT5L 630 BREAKING PART 3p F F           
MCCB 85KA 3P 400A - (LSI),1SDA100562R1,XT5L 400 BREAKING PART 3p F F           
MCCB 85KA 3P 250A 500V (LSI),1SDA100266R1,XT4X 250 BREAKING PART 3p F F           
MCCB 85KA 3P 100A 500V (LSI),1SDA100266R1,XT4X 250 BREAKING PART 3p F F           
MCCB 70KA 3P 630A - (LSI),1SDA100495R1,XT5H 630 Ekip Dip LSI In=630 3p F F     
MCCB 70KA 3P 630A (LSI),1SDA100495R1,XT5H 630 Ekip Dip LSI In=630 3p F F     
MCCB 70KA 3P 600A (LSI),1SDA100495R1,XT5H 630 Ekip Dip LSI In=630 3p F F     
MCCB 70KA 3P 40A (LSI),1SDA067869R1,XT2H 160 Ekip LSI In=63A 3p F F         
MCCB 70KA 3P 400A - (LSI),1SDA100494R1,XT5H 400 Ekip Dip LSI In=400 3p F F     
MCCB 70KA 3P 250A (LSI),1SDA068525R1,XT4H 250 Ekip LSI In=250A 3p F F        
MCCB 70KA 3P 100A (LSI),1SDA067870R1,XT2H 160 Ekip LSI In=100A 3p F F        
MCCB 65KA 3P 250A (LSI),1SDA068525R1,XT4H 250 Ekip LSI In=250A 3p F F        
MCCB 65KA 3P 100A (LSI),1SDA067870R1,XT2H 160 Ekip LSI In=100A 3p F F        
